2021-10-23 15:43:15.529465: pb-IF4xJ2ok | message 2
2021-10-23 15:49:25.181649: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | hi testing chat logger ..smoothy
2021-10-23 15:53:18.720181: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | testing logger 2
2021-10-23 15:53:21.328814: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | 3
2021-10-23 15:53:23.536746: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | 4
2021-10-23 15:53:26.750919: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | 5
2021-10-23 15:53:31.449340: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | 6
2021-10-23 15:53:34.357371: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | 7
2021-10-23 15:53:38.152627: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | 8
2021-10-23 15:53:41.077009: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | 9
2021-11-25 22:15:06.477416: pb-IF5XUm9eAg== | ohh fuck
2021-11-25 22:15:10.409848: pb-IF5XUm9eAg== | shit
2021-11-25 22:15:14.275920: pb-IF5XUm9eAg== | bye
2021-11-25 22:15:16.296385: pb-IF5XUm9eAg== | no
2021-11-25 22:15:21.839111: pb-IF5XUm9eAg== | no
2021-11-25 22:15:24.687210: pb-IF5XUm9eAg== | fuck
2021-11-25 22:15:27.920635: pb-IF5XUm9eAg== | fuck
2021-11-25 22:15:30.901683: pb-IF5XUm9eAg== | uck
2021-11-25 22:15:33.372142: pb-IF5XUm9eAg== | fuck
2021-11-25 22:15:36.348450: pb-IF5XUm9eAg== | fuck
2021-11-25 22:15:39.339904: pb-IF5XUm9eAg== | okokoko
2021-12-31 00:45:25.857016: pb-IF4SCnRZ | gcuser1578447208313|1n ✶❘❑Mina❑❘✶| Hi!
2021-12-31 12:51:59.340667: pb-IF4TUhVeAg== | Android54235764|Leonidas| ohhh
2021-12-31 12:52:04.548128: pb-IF4TUhVeAg== | Android54235764|Leonidas| y hit you
2021-12-31 12:52:24.971172: pb-IF4DV00iLw== | CanTheRipper999|CanTheMaster| throw bomb
2021-12-31 12:52:31.878001: pb-IF4TUhVeAg== | Android54235764|Leonidas| ok
2021-12-31 12:52:37.201372: pb-IF4DV00iLw== | CanTheRipper999|CanTheMaster| 0 damaye
2021-12-31 12:52:37.915111: pb-IF4TUhVeAg== | Android54235764|Leonidas| o_o
2021-12-31 12:53:08.523163: pb-IF4TUhVeAg== | Android54235764|Leonidas| y freeze
2021-12-31 12:53:17.163228: pb-IF4DV00iLw== | CanTheRipper999|CanTheMaster| bomb
2021-12-31 12:53:24.088700: pb-IF4TUhVeAg== | Android54235764|Leonidas| yeah
2021-12-31 12:54:04.514497: pb-IF4DV00iLw== | CanTheRipper999|CanTheMaster| sorry
2021-12-31 12:54:11.080672: pb-IF4TUhVeAg== | Android54235764|Leonidas| its ok
2021-12-31 12:56:35.750029: pb-IF4TUhVeAg== | Android54235764|Leonidas| im top5
2021-12-31 12:56:43.485544: pb-IF4DV00iLw== | CanTheRipper999|CanTheMaster| niceee
2021-12-31 12:57:01.872902: pb-IF4TUhVeAg== | Android54235764|Leonidas| olmost for top1
2021-12-31 12:57:20.374679: pb-IF4DV00iLw== | CanTheRipper999|CanTheMaster| lets goon santa
2021-12-31 12:57:29.124233: pb-IF4TUhVeAg== | Android54235764|Leonidas| ohh ok
2021-12-31 13:00:08.774773: pb-IF4TUhVeAg== | Android54235764|Leonidas| sorry
2021-12-31 13:01:47.078585: pb-IF4TUhVeAg== | Android54235764|Leonidas| sorry again
2021-12-31 13:09:36.737278: pb-IF4TUhVeAg== | Android54235764|Leonidas| cheater
2021-12-31 13:10:01.822360: pb-IF4SVEwJUQ== | MisterKLD|MisterKLD| no
2021-12-31 13:10:20.681309: pb-IF4TUhVeAg== | Android54235764|Leonidas| wtf
2021-12-31 13:10:25.666954: pb-IF4SVEwJUQ== | MisterKLD|MisterKLD| lol
2021-12-31 13:11:19.664360: pb-IF4SVEwJUQ== | MisterKLD|MisterKLD| gg
2021-12-31 13:11:25.639588: pb-IF4TUhVeAg== | Android54235764|Leonidas| y won
2021-12-31 14:03:47.573764: pb-IF4eUhk9CQ== | MainstreamBalloon46|final space ends| lag 
2021-12-31 14:27:33.180192: pb-IF4RUmYlCg== | Android55305626|"₲ⱧØ₴₮| 
2021-12-31 14:49:21.771059: pb-IF4KUnUjBg== | beckham007kill|beckham007kill| 
2021-12-31 14:49:21.964600: pb-IF4KUnUjBg== | beckham007kill|beckham007kill| 
2021-12-31 14:49:22.149339: pb-IF4KUnUjBg== | beckham007kill|beckham007kill| 
2021-12-31 14:49:22.315491: pb-IF4KUnUjBg== | beckham007kill|beckham007kill| 
2021-12-31 17:00:36.770339: pb-IF4xVUkSUA== | Android51985556|Android51985556| lag
2021-12-31 17:01:41.730466: pb-IF4xVUkSUA== | Android51985556|Android51985556| no grab flag let's just fight
2021-12-31 17:05:27.161937: pb-IF40VEQhBg== | PIRATECAPTAIN2008|PIRATECAPTAIN2008| My ping = 425ms
2021-12-31 17:09:11.399695: pb-IF4xVUkSUA== | Android51985556|chocolate🍦| lag
2021-12-31 17:09:14.510000: pb-IF4KV0sKFg== | davidgamer2003x|NoUnOuRs.✝| 
2021-12-31 17:09:14.720207: pb-IF4KV0sKFg== | davidgamer2003x|NoUnOuRs.✝| 
2021-12-31 17:09:14.981045: pb-IF4KV0sKFg== | davidgamer2003x|NoUnOuRs.✝| 
2021-12-31 17:10:17.915125: pb-IF4KV0sKFg== | davidgamer2003x|NoUnOuRs.✝| ^^
2021-12-31 17:11:47.732276: pb-IF4KV0sKFg== | davidgamer2003x|NoUnOuRs.✝| ^°^
2021-12-31 17:12:10.650733: pb-IF4KV0sKFg== | davidgamer2003x|NoUnOuRs.✝| XD
2021-12-31 17:12:14.029598: pb-IF4xVUkSUA== | Android51985556|chocolate🍦| 
2021-12-31 17:12:14.158843: pb-IF4xVUkSUA== | Android51985556|chocolate🍦| 
2021-12-31 17:12:14.278659: pb-IF4xVUkSUA== | Android51985556|chocolate🍦| 
2021-12-31 17:12:14.399156: pb-IF4xVUkSUA== | Android51985556|chocolate🍦| 
2021-12-31 19:49:24.431762: pb-IF4PIhA6 | JJA2007|THE ONLY◇CUPIN| 
2021-12-31 19:49:24.960983: pb-IF4PIhA6 | JJA2007|THE ONLY◇CUPIN| 
2021-12-31 20:50:08.441862: pb-IF49VEMFKg== | dazedgander4789|Roach| wtf
2021-12-31 21:04:34.430876: pb-IF4PUnInHw== | Android56569670|E\| bumboclate
2021-12-31 21:12:17.031127: pb-IF4PUnInHw== | Android56569670|E\| roach
2021-12-31 21:27:06.969876: pb-IF4yUmcdPw== | shadow4gh|⚡ZfZ⚡| i want slow
2021-12-31 21:28:15.231536: pb-IF5SUhImEQ== | Android53739311|خرجدی هیول| fix 1394
2021-12-31 21:33:39.421204: pb-IF4yUmcdPw== | shadow4gh|⚡ZfZ⚡| yaya
2021-12-31 21:34:37.080886: pb-IF4yUmcdPw== | shadow4gh|⚡ZfZ⚡| **** yoo
2021-12-31 21:34:44.320910: pb-IF4yUmcdPw== | shadow4gh|⚡ZfZ⚡| noob
2021-12-31 21:54:28.778966: pb-IF4BVUI-AA== | Android51684847|🖤ESTEFANI🖤| 
2021-12-31 21:54:30.937477: pb-IF4yVXodJw== | Android49799081|"NO MERCY"| 
2021-12-31 22:07:44.166762: pb-IF5QVWElBw== | Android46477482|Walter| 
2021-12-31 22:08:38.473864: pb-IF5QVWElBw== | Android46477482|Walter| everyonen can ****k his self
2021-12-31 22:22:27.289121: pb-IF4yVXodJw== | Android49799081|"NO MERCY"| end
2021-12-31 22:22:37.373603: pb-IF4yVXodJw== | Android49799081|"NO MERCY"| end
2021-12-31 22:34:43.800805: pb-IF4yVXodJw== | Android49799081|"NO MERCY"| ez
2021-12-31 22:34:50.599287: pb-IF4XVXEEUw== | Android49377565|ZQ-8000| ggs
2021-12-31 22:48:46.533187: pb-IF4PUmU-Hw== | Android55224929|el papeli| 
2021-12-31 22:48:46.720985: pb-IF4PUmU-Hw== | Android55224929|el papeli| 
2021-12-31 22:48:46.918804: pb-IF4PUmU-Hw== | Android55224929|el papeli| 
2021-12-31 22:48:47.108461: pb-IF4PUmU-Hw== | Android55224929|el papeli| 
2021-12-31 22:48:51.804427: pb-IF4xVUkSUA== | Android51985556|Android51985556| lag
2021-12-31 22:48:58.827520: pb-IF4PUmU-Hw== | Android55224929|el papeli| 
2021-12-31 22:48:59.579031: pb-IF4PUmU-Hw== | Android55224929|el papeli| 
2021-12-31 22:54:38.384908: pb-IF4sVWcJMA== | Android47921433|✹HERCULES✹| hola
2022-01-01 00:15:08.933542: pb-IF4yUmcdPw== | shadow4gh|shadow4gh| happy New year man😊😊
2022-01-01 00:17:28.923606: pb-IF4yUmcdPw== | shadow4gh|shadow4gh| happy 2022
2022-01-01 00:51:58.967174: pb-IF4iVW8eIw== | PC402110|PC402110| look at me
2022-01-01 00:52:05.935993: pb-IF4iVW8eIw== | PC402110|<in-lobby>| wait
2022-01-01 00:52:40.749152: pb-IF4iVW8eIw== | PC402110|PC402110| im pc
2022-01-01 00:52:44.299063: pb-IF4iVW8eIw== | PC402110|PC402110| im in pc
2022-01-01 00:52:47.405164: pb-IF4iVW8eIw== | PC402110|PC402110| and you too
2022-01-01 01:08:47.035917: pb-IF4oUnUuLg== | Android56876766|егор| го за пизда
2022-01-01 01:09:20.806948: pb-IF4IUhlaFA== | squad01jafer130|squad01jafer130| no hablo tu idioma losiento
